,date,sentimentScore
1088,2016-12-24,-1.7109337225679464
1089,2016-12-25,-1.8009966625046123
1090,2016-12-26,-1.746012720879186
1091,2016-12-27,-1.6915301187502745
1092,2016-12-28,-1.6772990351047867
1093,2016-12-29,-1.6572295318514196
1094,2016-12-30,-1.6492876601935793
1095,2016-12-31,-1.724443086148197
1096,2017-01-01,-1.8086273923882359
1097,2017-01-02,-1.6736592562291328
1098,2017-01-03,-1.6740763875775921
1099,2017-01-04,-1.6250612063901142
1100,2017-01-05,-1.6256211785117414
1101,2017-01-06,-1.5710321321567378
1102,2017-01-07,-1.6340093508472324
1103,2017-01-08,-1.721031596336389
1104,2017-01-09,-1.7429203339792672
1105,2017-01-10,-1.660193947573569
1106,2017-01-11,-1.7166469836362124
1107,2017-01-12,-1.6759742517662457
1108,2017-01-13,-1.691536999602676
1109,2017-01-14,-1.7201598989326186
1110,2017-01-15,-1.760184494174702
1111,2017-01-16,-1.7412512243937335
1112,2017-01-17,-1.70319459520424
1113,2017-01-18,-1.671503057308204
1114,2017-01-19,-1.629003163227348
1115,2017-01-20,-1.6524712676514821
1116,2017-01-21,-1.709015620027105
1117,2017-01-22,-1.7552419292774404
1118,2017-01-23,-1.7221688872930399
1119,2017-01-24,-1.6580769822592605
1120,2017-01-25,-1.6376327593631892
1121,2017-01-26,-1.619799145809564
1122,2017-01-27,-1.6602468034686828
1123,2017-01-28,-1.7049322232526773
1124,2017-01-29,-1.7091357330218382
1125,2017-01-30,-1.7301678664979658
1126,2017-01-31,-1.676805243452973
1127,2017-02-01,-1.5913351035165344
1128,2017-02-02,-1.6838993292312614
1129,2017-02-03,-1.6504419101399455
1130,2017-02-04,-1.6470841454691545
1131,2017-02-05,-1.659382433354774
1132,2017-02-06,-1.6981458797006042
1133,2017-02-07,-1.6012700546719454
1134,2017-02-08,-1.6248472859415657
1135,2017-02-09,-1.6154298568861991
1136,2017-02-10,-1.642158875415651
1137,2017-02-11,-1.6767124818647918
1138,2017-02-12,-1.7143422433508133
1139,2017-02-13,-1.658828707215216
1140,2017-02-14,-1.6611421545073273
1141,2017-02-15,-1.660456951988628
1142,2017-02-16,-1.67415932235082
1143,2017-02-17,-1.5666577006321916
1144,2017-02-18,-1.6263788422945347
1145,2017-02-19,-1.7164446020574928
1146,2017-02-20,-1.6818607808340609
1147,2017-02-21,-1.6316795561069304
1148,2017-02-22,-1.6071230663680685
1149,2017-02-23,-1.6195258561361066
1150,2017-02-24,-1.5622682910329548
1151,2017-02-25,-1.559462540653703
1152,2017-02-26,-1.6384595980933736
1153,2017-02-27,-1.641887527759393
1154,2017-02-28,-1.6176454513636505
1155,2017-03-01,-1.626248846033229
1156,2017-03-02,-1.582003699902195
1157,2017-03-03,-1.5581484789038502
1158,2017-03-04,-1.6103182753691907
1159,2017-03-05,-1.5890084624461704
1160,2017-03-06,-1.6755033251388092
1161,2017-03-07,-1.5693545666743571
1162,2017-03-08,-1.5676659296322764
1163,2017-03-09,-1.5765956231492164
1164,2017-03-10,-1.537774653552121
1165,2017-03-11,-1.5291100949254308
1166,2017-03-12,-1.6392708365340463
1167,2017-03-13,-1.6066767525382208
1168,2017-03-14,-1.5429855732443114
1169,2017-03-15,-1.5592101256124058
1170,2017-03-16,-1.7078122934739928
1171,2017-03-17,-1.530544038414074
1172,2017-03-18,-1.521772743391934
1173,2017-03-19,-1.5680707259558755
1174,2017-03-20,-1.810016036891872
1175,2017-03-21,-1.5382411696029727
1176,2017-03-22,-1.485705829622531
1177,2017-03-23,-1.5436945711476138
1178,2017-03-24,-1.4925829593459825
1179,2017-03-25,-1.5873644006764893
1180,2017-03-26,-1.6061399392807993
1181,2017-03-27,-1.6577756379785802
1182,2017-03-28,-1.527576422646105
1183,2017-03-29,-1.5625112494208162
1184,2017-03-30,-1.543428687512317
1185,2017-03-31,-1.597522680443914
1186,2017-04-01,-1.5700118476978968
1187,2017-04-02,-1.5879842053583901
1188,2017-04-03,-1.536523770691353
1189,2017-04-04,-1.5840208463440648
1190,2017-04-05,-1.5276466324703601
1191,2017-04-06,-1.5411753425625472
1192,2017-04-07,-1.546400266004391
1193,2017-04-08,-1.5857638519746144
1194,2017-04-09,-1.5581241513837383
1195,2017-04-10,-1.6262772109058876
1196,2017-04-11,-1.5560302102973944
1197,2017-04-12,-1.5624899740268352
1198,2017-04-13,-1.60758937346193
